lat,lon,lprice,Size,Rooms,Toilets,Suites,Condo,Parking,Elevator,Furnished,Swimming.Pool
-23.714197,-46.702117,13.30468493,180,3,1,3,1210,2,2,1,2
-23.714197,-46.702117,13.36138028,180,3,5,5,1150,2,2,1,1
-23.714189,-46.704325,13.65299163,180,4,5,5,1300,3,2,1,2
-23.712794,-46.70121,12.40901349,50,2,2,1,400,1,2,2,1
-23.7124888,-46.6918578,12.52452638,55,2,1,0,265,1,1,1,1
-23.710163,-46.686643,12.4874851,49,2,2,1,280,1,2,1,1
-23.709521,-46.687888,12.54254488,55,2,2,1,460,1,1,1,1
-23.703936,-46.688574,12.56024446,56,2,2,1,390,1,1,1,2
-23.703863,-46.686754,12.4874851,52,2,2,1,285,1,1,1,1
-23.701798,-46.688606,12.72188581,55,2,2,1,405,1,1,1,1
-23.701798,-46.688606,12.76568843,55,2,2,1,450,1,1,1,2
-23.701798,-46.688606,12.78828827,55,2,2,1,350,1,1,1,2
-23.697822,-46.67376,12.76568843,58,2,2,1,530,1,2,2,2
-23.695633,-46.675219,12.4292162,57,2,2,1,300,1,2,1,1
-23.695009,-46.676327,12.53537639,69,2,2,1,303,1,1,1,1
-23.69448,-46.675465,12.50617724,70,2,2,1,300,1,1,1,1
-23.693859,-46.677738,12.4874851,48,2,2,1,435,1,1,1,1
-23.693705,-46.669103,12.4292162,65,2,2,1,410,1,2,1,1
-23.693705,-46.669103,12.59473064,65,2,2,1,390,1,2,1,1
-23.693324,-46.674873,12.53537639,60,2,2,1,320,1,1,1,1
-23.6927249,-46.6774074,12.5776362,47,2,1,0,420,1,1,1,2
-23.692724,-46.677407,12.5776362,50,2,2,1,290,1,1,1,1
-23.692724,-46.677406,12.5776362,50,2,2,1,400,1,2,1,1
-23.692451,-46.672993,12.50617724,70,2,2,1,300,1,1,2,1
-23.691767,-46.667353,12.15477935,50,2,2,1,220,1,1,1,1
-23.691428,-46.667134,12.27839331,50,2,2,1,290,1,1,1,1
-23.691388,-46.676797,12.61153775,49,2,2,1,280,1,2,2,1
-23.691388,-46.676797,12.61153775,46,2,2,1,302,1,2,2,1
-23.691388,-46.676797,12.66032792,47,2,2,1,260,1,2,2,1
-23.691297,-46.676707,12.56374709,49,2,2,1,300,1,1,1,1
-23.691249,-46.676387,12.59811473,50,2,2,1,380,1,1,1,1
-23.691096,-46.675693,12.4874851,70,2,2,1,350,1,2,1,2
-23.69109,-46.674328,12.38212459,47,2,2,1,300,1,2,1,1
-23.69109,-46.674328,12.54254488,50,2,2,1,220,1,1,1,2
-23.6909558,-46.6742072,12.46458334,49,2,1,0,550,1,1,2,1
-23.690912,-46.703922,12.4292162,56,2,2,1,400,1,2,1,2
-23.690912,-46.703922,12.61153775,65,2,2,1,400,1,1,1,2
-23.6909087,-46.6744018,12.5776362,47,2,1,0,610,1,1,1,1
-23.690908,-46.674401,12.34583459,50,2,2,1,356,1,1,1,1
-23.6908928,-46.6780906,12.54254488,53,2,1,0,410,1,1,1,1
-23.690892,-46.67809,12.67607627,50,2,2,1,299,1,2,1,1
-23.690892,-46.67809,12.54254488,49,2,2,1,336,1,1,1,1
-23.690892,-46.67809,12.59473064,50,2,2,1,430,1,2,1,1
-23.690841,-46.673969,12.67607627,74,2,2,1,485,1,2,1,2
-23.690841,-46.673969,12.54254488,52,2,2,1,315,1,1,1,1
-23.690717,-46.699765,12.76511684,75,3,4,1,600,1,2,1,2
-23.690658,-46.703846,12.56024446,48,2,2,1,430,1,2,1,2
-23.690658,-46.703846,12.56723749,55,2,2,1,390,1,1,1,2
-23.690658,-46.703846,12.67607627,55,2,2,1,300,1,1,1,1
-23.690658,-46.703846,12.4292162,50,2,2,1,350,1,1,1,1
-23.690658,-46.703846,12.67607627,48,2,2,1,450,1,1,1,2
-23.690658,-46.703846,12.66980666,47,2,2,1,483,1,2,1,2
-23.690658,-46.703846,12.67607627,48,2,2,1,550,1,1,1,2
-23.69051,-46.678216,12.76568843,66,2,2,1,350,1,1,1,1
-23.69051,-46.678216,12.5776362,64,2,2,1,350,1,2,1,2
-23.69028,-46.674184,12.23076526,44,1,2,1,400,1,2,1,1
-23.689616,-46.698819,13.01700286,73,3,2,1,680,1,2,1,1
-23.689036,-46.679041,12.54250917,50,2,2,1,350,1,2,1,2
-23.689036,-46.679041,12.48744737,50,2,2,1,350,1,2,1,2
-23.68849,-46.671846,12.50617724,51,2,2,1,500,1,1,1,1
-23.68849,-46.671846,12.59473064,61,2,2,1,242,1,1,1,2
-23.68849,-46.671846,12.4874851,49,2,2,1,570,1,1,1,1
-23.688136,-46.68033,12.64432758,75,3,2,1,420,1,1,1,1
-23.687774,-46.70453,12.67607627,55,2,2,1,560,1,1,1,2
-23.687745,-46.704365,12.67607627,55,2,2,1,560,1,2,2,2
